,well,row,column,image,cell_line,siRNA,1NM_conc,time,MI,cell_count
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,20,3.01,332
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,30,3.02,331
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,40,2.11,331
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,50,3.64,330
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,60,4.82,332
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,70,5.45,330
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,80,6.06,330
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,90,8.28,338
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,100,9.55,335
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,110,10.48,334
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,120,11.61,336
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,130,13.24,340
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,140,11.68,334
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,150,16.13,341
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,160,16.32,337
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,170,20.71,338
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,180,20.47,337
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,190,22.65,340
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,200,26.27,335
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,210,28.74,334
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,220,27.74,328
0,E3,4,3,400993,U2OScdk1as,siB55gamma,0.5,230,32.45,339
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,0,1.5,334
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,10,0.91,329
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,20,1.22,329
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,30,2.13,329
0,E3,4,3,400994,U2OScdk1as,siB55gamma,0.5,40,1.51,331
